record_id,material_name,material_class,sensor_architecture,sensing_target,measurement_type,measurement_value,measurement_unit,source_id,source_url,doi,raw_file,extraction_confidence,notes
rec_wang_2022_uio66_sensitivity_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,sensitivity,0.06,nm/ppm,paper_wang_2022_uio66_pc,https://doi.org/10.1039/D2RA05494A,10.1039/D2RA05494A,data/raw/pdf/rsc_2022_uio66_3d_photonic_crystal_optical_sensor.pdf,high,Page 6; concentration range 0-500 ppm; fitted slope reported as 0.06063 with R2=0.98259.
rec_wang_2022_uio66_lod_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,limit_of_detection,1.64,ppm,paper_wang_2022_uio66_pc,https://doi.org/10.1039/D2RA05494A,10.1039/D2RA05494A,data/raw/pdf/rsc_2022_uio66_3d_photonic_crystal_optical_sensor.pdf,high,"Pages 1, 6, and 8; LOD calculated at spectral resolution 0.1 nm."
rec_wang_2022_uio66_q_factor_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,quality_factor,10.8,dimensionless,paper_wang_2022_uio66_pc,https://doi.org/10.1039/D2RA05494A,10.1039/D2RA05494A,data/raw/pdf/rsc_2022_uio66_3d_photonic_crystal_optical_sensor.pdf,high,Page 6; FWHM reported as 42.4 nm.
rec_wang_2022_uio66_response_time_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,response_time,0.5,s,paper_wang_2022_uio66_pc,https://doi.org/10.1039/D2RA05494A,10.1039/D2RA05494A,data/raw/pdf/rsc_2022_uio66_3d_photonic_crystal_optical_sensor.pdf,high,"Pages 1, 6, and 8; measured at 500 ppm chlorobenzene vapor."
rec_wang_2022_uio66_recovery_time_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,recovery_time,0.45,s,paper_wang_2022_uio66_pc,https://doi.org/10.1039/D2RA05494A,10.1039/D2RA05494A,data/raw/pdf/rsc_2022_uio66_3d_photonic_crystal_optical_sensor.pdf,high,"Pages 1, 6, and 8; measured at 500 ppm chlorobenzene vapor."
rec_wang_2022_uio66_wavelength_shift_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,wavelength_shift,30.9,nm,paper_wang_2022_uio66_pc,https://doi.org/10.1039/D2RA05494A,10.1039/D2RA05494A,data/raw/pdf/rsc_2022_uio66_3d_photonic_crystal_optical_sensor.pdf,high,Pages 5-6; shift at 500 ppm chlorobenzene vapor.
rec_nazeri_2020_hcpcf_sensor_c_sensitivity_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor C, 3.30 mm HC-PCF length",gas refractive index,sensitivity,4629,nm/RIU,paper_nazeri_2020_hcpcf_mzi_gas,https://doi.org/10.3390/s20102807,10.3390/s20102807,data/raw/pdf/nazeri_2020_hollow_core_pcf_mzi_gas_sensing.pdf,high,"Pages 1, 9, 10, and 12; RI range reported as 1.0000347-1.000436."
rec_nazeri_2020_hcpcf_sensor_c_resolution_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor C, 3.30 mm HC-PCF length",gas refractive index,resolution,2.1e-07,RIU,paper_nazeri_2020_hcpcf_mzi_gas,https://doi.org/10.3390/s20102807,10.3390/s20102807,data/raw/pdf/nazeri_2020_hollow_core_pcf_mzi_gas_sensing.pdf,high,Page 10; resolution derived by article for sensor C sensitivity of 4629 nm/RIU.
rec_nazeri_2020_hcpcf_sensor_a_methane_response_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor A, 4.97 mm HC-PCF length",methane gas,response_time,32,s,paper_nazeri_2020_hcpcf_mzi_gas,https://doi.org/10.3390/s20102807,10.3390/s20102807,data/raw/pdf/nazeri_2020_hollow_core_pcf_mzi_gas_sensing.pdf,high,Page 11; Table 3 average of five response-time measurements.
rec_nazeri_2020_hcpcf_sensor_a_methane_recovery_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor A, 4.97 mm HC-PCF length",methane gas,recovery_time,39,s,paper_nazeri_2020_hcpcf_mzi_gas,https://doi.org/10.3390/s20102807,10.3390/s20102807,data/raw/pdf/nazeri_2020_hollow_core_pcf_mzi_gas_sensing.pdf,high,Page 11; Table 3 average of five recovery-time measurements.
rec_dolci_2025_fiber_tip_bulk_sensitivity_001,fiber-tip photonic crystal,nanophotonic resonator,dual-channel fiber-tip photonic crystal biosensor,bulk refractive index,sensitivity,269,nm/RIU,paper_dolci_2025_fiber_tip_pc_biosensing,https://doi.org/10.1016/j.biosx.2024.100573,10.1016/j.biosx.2024.100573,data/raw/pdf/fernandez_regules_2024_fiber_tip_photonic_crystal_biosensing.pdf,high,Page 5; sensor-channel bulk sensitivity reported as 269 +/- 6 nm/RIU; reference channel was 197 +/- 4 nm/RIU.
rec_dolci_2025_fiber_tip_anti_igg_lod_001,fiber-tip photonic crystal,nanophotonic resonator,dual-channel fiber-tip photonic crystal biosensor in continuous flow,anti-IgG in undiluted serum,limit_of_detection,60,pM,paper_dolci_2025_fiber_tip_pc_biosensing,https://doi.org/10.1016/j.biosx.2024.100573,10.1016/j.biosx.2024.100573,data/raw/pdf/fernandez_regules_2024_fiber_tip_photonic_crystal_biosensing.pdf,high,"Pages 2, 3, 6, and 7; equivalent mass concentration reported as 9 ng/mL."
rec_shaban_2017_au_1dpc_ri_sensitivity_avg_001,Au/1D photonic crystal,plasmonic/photonic hybrid,gold-coated one-dimensional photonic crystal microfluidic sensor,environmental refractive index,sensitivity,50.23,nm/RIU,paper_shaban_2017_plasmonic_1d_pc,https://doi.org/10.1038/srep41983,10.1038/srep41983,data/raw/pdf/shaban_2017_plasmonic_1d_photonic_crystal.pdf,high,Pages 6 and 8; average RI sensitivity for Au/1D PC sensor.
rec_shaban_2017_au_1dpc_right_edge_sensitivity_001,Au/1D photonic crystal,plasmonic/photonic hybrid,gold-coated one-dimensional photonic crystal microfluidic sensor,environmental refractive index,sensitivity,56.14,nm/RIU,paper_shaban_2017_plasmonic_1d_pc,https://doi.org/10.1038/srep41983,10.1038/srep41983,data/raw/pdf/shaban_2017_plasmonic_1d_photonic_crystal.pdf,high,"Page 6; sensitivity of the right PBG edge, compared with 46.73 nm/RIU for the left edge."
rec_shaban_2017_au_1dpc_glucose_sensitivity_avg_001,Au/1D photonic crystal,plasmonic/photonic hybrid,gold-coated one-dimensional photonic crystal glucose sensor,glucose concentration in aqueous solution,sensitivity,271,nm/(g/dL),paper_shaban_2017_plasmonic_1d_pc,https://doi.org/10.1038/srep41983,10.1038/srep41983,data/raw/pdf/shaban_2017_plasmonic_1d_photonic_crystal.pdf,high,Page 8; average SPR sensitivity for glucose concentrations from 0 to 0.163 g/dL.
rec_shaban_2017_au_1dpc_glucose_sensitivity_max_001,Au/1D photonic crystal,plasmonic/photonic hybrid,gold-coated one-dimensional photonic crystal glucose sensor,glucose concentration in aqueous solution,sensitivity,407.42,nm/(g/dL),paper_shaban_2017_plasmonic_1d_pc,https://doi.org/10.1038/srep41983,10.1038/srep41983,data/raw/pdf/shaban_2017_plasmonic_1d_photonic_crystal.pdf,high,Page 8; maximum glucose sensitivity at 0.031 g/dL.
rec_shaban_2017_au_1dpc_pbg_width_slope_001,Au/1D photonic crystal,plasmonic/photonic hybrid,gold-coated one-dimensional photonic crystal glucose sensor,glucose concentration in aqueous solution,sensitivity,16.04,nm/(g/dL),paper_shaban_2017_plasmonic_1d_pc,https://doi.org/10.1038/srep41983,10.1038/srep41983,data/raw/pdf/shaban_2017_plasmonic_1d_photonic_crystal.pdf,medium,Page 8; slope of PBG-width decrease with glucose concentration; abstract reports same trend in Angstrom/(ug/mm3).
rec_zaky_2020_tamm_sensitivity_001,Tamm-state 1D photonic crystal,1D photonic crystal,prism-coupled Tamm-state one-dimensional photonic crystal gas sensor,gas refractive index,sensitivity,190000,nm/RIU,paper_zaky_2020_tamm_1d_pc_gas,https://doi.org/10.1038/s41598-020-66427-6,10.1038/s41598-020-66427-6,data/raw/pdf/zaky_2020_tamm_1d_photonic_crystal_gas_sensor.pdf,high,"Pages 1, 6, 7, and 8; theoretical optimized sensor, also reported as 1.9e5 nm/RIU."
rec_zaky_2020_tamm_lod_001,Tamm-state 1D photonic crystal,1D photonic crystal,prism-coupled Tamm-state one-dimensional photonic crystal gas sensor,gas refractive index,limit_of_detection,1.4e-07,RIU,paper_zaky_2020_tamm_1d_pc_gas,https://doi.org/10.1038/s41598-020-66427-6,10.1038/s41598-020-66427-6,data/raw/pdf/zaky_2020_tamm_1d_photonic_crystal_gas_sensor.pdf,high,"Pages 1, 7, and 8; theoretical optimized sensor."
rec_zaky_2020_tamm_q_factor_001,Tamm-state 1D photonic crystal,1D photonic crystal,prism-coupled Tamm-state one-dimensional photonic crystal gas sensor,gas refractive index,quality_factor,4000,dimensionless,paper_zaky_2020_tamm_1d_pc_gas,https://doi.org/10.1038/s41598-020-66427-6,10.1038/s41598-020-66427-6,data/raw/pdf/zaky_2020_tamm_1d_photonic_crystal_gas_sensor.pdf,high,Pages 7 and 8; theoretical optimized sensor; FWHM reported as 0.52 nm.
rec_lin_2018_seira_co2_lod_001,Au nanopatch array with ZIF-8 MOF film,plasmonic/photonic hybrid,suspended Si3N4 nanomembrane on-chip SEIRA gas sensor,CO2 gas,limit_of_detection,52,ppm,paper_lin_2018_seira_on_chip_gas,https://doi.org/10.1021/acssensors.7b00891,10.1021/acssensors.7b00891,data/raw/pdf/lin_2018_surface_enhanced_infrared_on_chip_gas_sensing.pdf,high,Page 7; extrapolated detection limit for a 4 mm absorption path; source_map marks ACS publisher terms.
rec_lin_2018_seira_q_factor_001,Au nanopatch array with ZIF-8 MOF film,plasmonic/photonic hybrid,suspended Si3N4 nanomembrane on-chip SEIRA gas sensor,CO2 gas,quality_factor,12.3,dimensionless,paper_lin_2018_seira_on_chip_gas,https://doi.org/10.1021/acssensors.7b00891,10.1021/acssensors.7b00891,data/raw/pdf/lin_2018_surface_enhanced_infrared_on_chip_gas_sensing.pdf,high,Page 7; measured Q factor of the experimental spectrum; source_map marks ACS publisher terms.
